generation,checkpoint_id,max_derived_metric,min_derived_metric,mean_derived_metric,elites_mean_derived_metric,cid_min_derived_metric,cid_max_derived_metric
1,UniLEAF_de95fcd7-7056-43d3-9e30-9d309e76f726/1/20251028-012409,0.16948839342022176,0.07089484471533113,0.13116357604547577,0.16948839342022176,1_1,1_3
2,UniLEAF_de95fcd7-7056-43d3-9e30-9d309e76f726/2/20251028-020143,0.1714810474260885,0.16845250952254517,0.16980731678961847,0.1714810474260885,2_3,2_2
