id,identity,Survived,is_elite
22_9,"{'ancestor_count': 14, 'ancestor_ids': ['18_10', '21_6'], 'birth_generation': 22, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '22_9', 'origin': '18_10~CUW~21_6#MGNP'}",0.7831693989071038,True
18_10,"{'ancestor_count': 12, 'ancestor_ids': ['17_7', '17_7'], 'birth_generation': 18, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '18_10', 'origin': '17_7~CUW~17_7#MGNP'}",0.7830601092896176,True
21_6,"{'ancestor_count': 13, 'ancestor_ids': ['18_10', '16_7'], 'birth_generation': 21, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '21_6', 'origin': '18_10~CUW~16_7#MGNP'}",0.7830601092896176,True
21_10,"{'ancestor_count': 13, 'ancestor_ids': ['18_10', '18_10'], 'birth_generation': 21, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '21_10', 'origin': '18_10~CUW~18_10#MGNP'}",0.7830601092896176,True
22_7,"{'ancestor_count': 14, 'ancestor_ids': ['21_6', '21_6'], 'birth_generation': 22, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '22_7', 'origin': '21_6~CUW~21_6#MGNP'}",0.7830601092896176,True
23_6,"{'ancestor_count': 15, 'ancestor_ids': ['22_9', '22_9'], 'birth_generation': 23, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '23_6', 'origin': '22_9~CUW~22_9#MGNP'}",0.7830601092896176,False
23_7,"{'ancestor_count': 15, 'ancestor_ids': ['22_9', '18_10'], 'birth_generation': 23, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '23_7', 'origin': '22_9~CUW~18_10#MGNP'}",0.7830054644808744,False
23_8,"{'ancestor_count': 15, 'ancestor_ids': ['18_10', '22_9'], 'birth_generation': 23, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '23_8', 'origin': '18_10~CUW~22_9#MGNP'}",0.7822404371584701,False
23_9,"{'ancestor_count': 15, 'ancestor_ids': ['22_9', '22_9'], 'birth_generation': 23, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '23_9', 'origin': '22_9~CUW~22_9#MGNP'}",0.7830601092896176,False
23_10,"{'ancestor_count': 15, 'ancestor_ids': ['22_9', '22_9'], 'birth_generation': 23, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '23_10', 'origin': '22_9~CUW~22_9#MGNP'}",0.782896174863388,False
