id,identity,Survived,is_elite
6_6,"{'ancestor_count': 4, 'ancestor_ids': ['4_8', '3_8'], 'birth_generation': 6, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '6_6', 'origin': '4_8~CUW~3_8#MGNP'}",0.7697814207650273,True
6_7,"{'ancestor_count': 4, 'ancestor_ids': ['3_8', '4_8'], 'birth_generation': 6, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '6_7', 'origin': '3_8~CUW~4_8#MGNP'}",0.7693989071038252,True
3_8,"{'ancestor_count': 2, 'ancestor_ids': ['2_9', '2_9'], 'birth_generation': 3, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '3_8', 'origin': '2_9~CUW~2_9#MGNP'}",0.7692896174863388,True
4_8,"{'ancestor_count': 3, 'ancestor_ids': ['3_8', '3_9'], 'birth_generation': 4, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '4_8', 'origin': '3_8~CUW~3_9#MGNP'}",0.7692896174863388,False
5_6,"{'ancestor_count': 3, 'ancestor_ids': ['3_8', '3_8'], 'birth_generation': 5, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '5_6', 'origin': '3_8~CUW~3_8#MGNP'}",0.7692896174863388,False
7_6,"{'ancestor_count': 5, 'ancestor_ids': ['6_6', '6_6'], 'birth_generation': 7, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '7_6', 'origin': '6_6~CUW~6_6#MGNP'}",0.7630054644808743,False
7_7,"{'ancestor_count': 5, 'ancestor_ids': ['6_7', '6_6'], 'birth_generation': 7, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '7_7', 'origin': '6_7~CUW~6_6#MGNP'}",0.7699453551912568,True
7_8,"{'ancestor_count': 5, 'ancestor_ids': ['6_6', '6_6'], 'birth_generation': 7, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '7_8', 'origin': '6_6~CUW~6_6#MGNP'}",0.7657377049180327,False
7_9,"{'ancestor_count': 5, 'ancestor_ids': ['6_6', '6_6'], 'birth_generation': 7, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '7_9', 'origin': '6_6~CUW~6_6#MGNP'}",0.7685792349726777,False
7_10,"{'ancestor_count': 5, 'ancestor_ids': ['6_6', '6_6'], 'birth_generation': 7, 'domain_name': None, 'experiment_version': 'UniLEAF_184be189-265f-ce68-351a-33cbccd4f49d', 'unique_id': '7_10', 'origin': '6_6~CUW~6_6#MGNP'}",0.7710928961748634,True
